mean_correlation,median_correlation,market_volatility,cross_sectional_dispersion,pca_first_component_ratio,mean_pairwise_distance,mean_correlation_distance,window_id,window_start,window_end,cluster_count,silhouette_score,adjacent_window_ari,sector_cluster_ari,sector_cluster_nmi,pca_stock_projection_pc1_ratio
0.2426987299370371,0.22653188344955538,0.10471426225932368,0.011727108899960958,0.2819731000929384,1.062500683597147,1.2188460583965586,0,2021-06-23,2021-10-28,6,0.053886641505930845,,0.11641294138434498,0.41852785737238823,0.18079293780345113
0.2324681584733128,0.22120434411578918,0.10481743358495187,0.012141180273958524,0.2730298784470068,1.0710763656915983,1.2275637936283286,1,2021-07-08,2021-11-11,6,0.10344087971961605,0.4117729267406434,0.18960872564801734,0.47915141435614067,0.17316855098462575
0.2184945170735688,0.2076015170542037,0.10216729304446864,0.012479953475773513,0.2580027226444283,1.0813089881529874,1.2395143694841577,2,2021-07-22,2021-11-26,6,0.10680207024480973,0.7828411698217924,0.17409424018813074,0.47023954542718904,0.16048412892169317
0.25709808640145265,0.2446903209155834,0.11794232714402829,0.012916167989789954,0.2970366821723672,1.0534070901674242,1.2073829904028088,3,2021-08-05,2021-12-10,6,0.10835225994541202,0.5856051608723818,0.20908356652770185,0.4739859429964674,0.15711644090896598
0.26824182292425025,0.26310861535109276,0.12834375512603363,0.013480702382430826,0.30740176082380544,1.047970120475254,1.1972880932867047,4,2021-08-19,2021-12-27,6,0.11623468956163924,0.6947418189186451,0.28041714947856317,0.5528766545647877,0.1663288482541997
0.25588551444713475,0.2525310896720568,0.12986137978959023,0.013889966419362045,0.2963951281648764,1.0576136177164417,1.207048003549376,5,2021-09-02,2022-01-10,6,0.10033780649643101,0.7449845722617178,0.1906319368035758,0.4667386676846072,0.18624424837360487
0.26004265414448485,0.2567751131328502,0.13967065270729326,0.014619648456047423,0.30068333218324217,1.0550112257242492,1.2044981488930464,6,2021-09-17,2022-01-25,6,0.12369147624711867,0.7456062072218298,0.2817990123828684,0.5758136764447207,0.18249330985169732
0.2410743464099274,0.25032056891433824,0.14163400351116465,0.015408466546079157,0.2824954456579936,1.0643044235104888,1.221118036509684,7,2021-10-01,2022-02-08,6,0.12161643173904232,0.7270504183548704,0.22748360177973767,0.5162876293434269,0.16685129045897615
0.25531476237445067,0.2603250418742833,0.15284236797657053,0.015904858782872823,0.2972476419187053,1.0557623914267116,1.2092221871406557,8,2021-10-15,2022-02-23,6,0.1222321664360435,0.6813831783261016,0.2563786537068623,0.5242122188473958,0.16811395641973376
0.28360533527656734,0.2919060083597188,0.1725773932791722,0.016673112948931517,0.334295067247303,1.0373541796225214,1.1823564634095811,9,2021-10-29,2022-03-09,6,0.10195217483150688,0.39267691585494663,0.137555839116515,0.4536438576489976,0.19504263580756323
