window_id,raw_coordinate_norm,aligned_coordinate_norm,norm_ratio,raw_mean_pairwise_distance,aligned_mean_pairwise_distance,distance_ratio
0,0.813583541424852,0.813583541424852,1.0,1.062500683597147,1.062500683597147,1.0
1,0.8200471687718885,0.8200471687718887,1.0000000000000002,1.0710763656915983,1.0710763656915983,1.0
2,0.8275743686450855,0.8275743686450857,1.0000000000000002,1.0813089881529871,1.0813089881529874,1.0000000000000002
3,0.8070078498772031,0.807007849877203,0.9999999999999999,1.0534070901674244,1.0534070901674242,0.9999999999999998
4,0.8030475433384796,0.8030475433384798,1.0000000000000002,1.047970120475254,1.047970120475254,1.0
5,0.8105969879027295,0.8105969879027293,0.9999999999999998,1.057613617716442,1.0576136177164417,0.9999999999999998
6,0.8083464972838733,0.8083464972838732,0.9999999999999999,1.0550112257242497,1.0550112257242492,0.9999999999999996
7,0.8154703525169081,0.8154703525169078,0.9999999999999996,1.064304423510489,1.0643044235104888,0.9999999999999998
8,0.8090211254786441,0.809021125478644,0.9999999999999999,1.055762391426712,1.0557623914267116,0.9999999999999996
9,0.7963850480301685,0.796385048030169,1.0000000000000007,1.037354179622521,1.0373541796225214,1.0000000000000004
10,0.7893629142547266,0.7893629142547265,0.9999999999999999,1.0267347429699325,1.0267347429699325,1.0
11,0.7879257747964661,0.7879257747964664,1.0000000000000004,1.0236556252602533,1.0236556252602538,1.0000000000000004
12,0.7937701977637586,0.7937701977637583,0.9999999999999997,1.0306658306371366,1.0306658306371363,0.9999999999999998
13,0.7447931741439455,0.7447931741439454,0.9999999999999999,0.9662334272072104,0.9662334272072102,0.9999999999999998
14,0.7251866763839474,0.7251866763839475,1.0000000000000002,0.9401377556563161,0.9401377556563161,1.0
15,0.7165891292043267,0.7165891292043267,1.0,0.9286518948256197,0.9286518948256196,0.9999999999999999
16,0.6899727120546969,0.6899727120546967,0.9999999999999997,0.8938566187863128,0.8938566187863124,0.9999999999999996
17,0.6871807788064608,0.6871807788064608,1.0,0.890012244284534,0.890012244284534,1.0
18,0.6796012641269873,0.6796012641269874,1.0000000000000002,0.8820973337481626,0.8820973337481627,1.0000000000000002
19,0.6858275143256118,0.6858275143256118,1.0,0.8910181760902662,0.8910181760902661,0.9999999999999999
20,0.6796062972866879,0.679606297286688,1.0000000000000002,0.882965879024133,0.8829658790241331,1.0000000000000002
21,0.6631780629549663,0.6631780629549665,1.0000000000000004,0.8606400769746331,0.8606400769746333,1.0000000000000002
