window_id,window_start,window_end,ticker,sector,x_raw,y_raw,x,y,x_aligned,y_aligned,x_pca,y_pca,cluster,kmeans_cluster,stock_volatility
0,2021-06-23,2021-10-28,AAPL,Information Technology,0.2090613654631725,-0.35773433665226956,0.2090613654631725,-0.35773433665226956,0.2090613654631725,-0.35773433665226956,-1.9051550158135058,-1.5411201473891238,0,0,0.1950737822091968
0,2021-06-23,2021-10-28,AMD,Information Technology,-0.16071194237031383,1.033556100354026,-0.16071194237031383,1.033556100354026,-0.16071194237031383,1.033556100354026,-0.037184353827914844,-4.3311912074387084,0,1,0.36311620978456965
0,2021-06-23,2021-10-28,AMT,Real Estate,0.8930442256459721,-0.48748827761778785,0.8930442256459721,-0.48748827761778785,0.8930442256459721,-0.48748827761778785,-6.485292973661868,0.9671589075012414,2,4,0.16388560354786316
0,2021-06-23,2021-10-28,AMZN,Consumer Discretionary,-0.2036370001503359,-0.914415879278453,-0.2036370001503359,-0.914415879278453,-0.2036370001503359,-0.914415879278453,-0.7333309884561903,-4.411416541428361,0,5,0.2304880416988211
0,2021-06-23,2021-10-28,AVGO,Information Technology,-0.482246108418084,-0.3531097614495621,-0.482246108418084,-0.3531097614495621,-0.482246108418084,-0.3531097614495621,0.8794002323658399,-3.429941236538944,0,1,0.1787837990822497
0,2021-06-23,2021-10-28,BA,Industrials,-0.6422650082670739,0.724750214059635,-0.6422650082670739,0.724750214059635,-0.6422650082670739,0.724750214059635,4.988913767807854,-0.0506835289073287,0,2,0.2915504383891518
0,2021-06-23,2021-10-28,BAC,Financials,-0.7903241672913052,0.31594106331425065,-0.7903241672913052,0.31594106331425065,-0.7903241672913052,0.31594106331425065,6.047201891442202,1.1914652422307763,0,2,0.25003662124867737
0,2021-06-23,2021-10-28,BRK.B,Financials,-0.19343299545471473,0.3780051519438996,-0.19343299545471473,0.3780051519438996,-0.19343299545471473,0.3780051519438996,2.921897124366828,3.830583142321238,0,2,0.1322746057009791
0,2021-06-23,2021-10-28,CAT,Industrials,-0.4717278883420792,0.4025839753654902,-0.4717278883420792,0.4025839753654902,-0.4717278883420792,0.4025839753654902,4.846207526401557,1.2889665934313812,0,2,0.24817187778995214
0,2021-06-23,2021-10-28,COST,Consumer Staples,0.6149702512706952,-0.5243471618161761,0.6149702512706952,-0.5243471618161761,0.6149702512706952,-0.5243471618161761,-4.397955641449803,-1.2688949428536895,2,0,0.1516746974138734
0,2021-06-23,2021-10-28,CRM,Information Technology,0.25543926393271066,-0.9738591964500392,0.25543926393271066,-0.9738591964500392,0.25543926393271066,-0.9738591964500392,-1.0405067563041324,-4.195460840853394,0,5,0.21607308780560433
0,2021-06-23,2021-10-28,CSCO,Information Technology,0.37782569243166425,-0.1551344726766244,0.37782569243166425,-0.1551344726766244,0.37782569243166425,-0.1551344726766244,-1.611559030626072,0.4198812481119307,0,0,0.15237527862561195
0,2021-06-23,2021-10-28,CVX,Energy,-0.670991292295206,0.5672292181509251,-0.670991292295206,0.5672292181509251,-0.670991292295206,0.5672292181509251,5.797766025203688,2.0340135536412176,0,2,0.22634285127856482
0,2021-06-23,2021-10-28,DIS,Communication Services,-0.7509604388071583,-0.02823220646533358,-0.7509604388071583,-0.02823220646533358,-0.7509604388071583,-0.02823220646533358,3.621943619840081,-0.23960045639778696,0,2,0.22784430431361172
0,2021-06-23,2021-10-28,DUK,Utilities,0.9668794536761371,0.502610967718312,0.9668794536761371,0.502610967718312,0.9668794536761371,0.502610967718312,-4.476875547948893,4.879529493306928,2,4,0.14325177829842142
0,2021-06-23,2021-10-28,GE,Industrials,-0.4670563098533212,0.7017742580651857,-0.4670563098533212,0.7017742580651857,-0.4670563098533212,0.7017742580651857,5.397398962624023,2.6744482700664713,0,2,0.29415256582100807
0,2021-06-23,2021-10-28,GOOG,Communication Services,-0.06330800873069002,-0.5949866200784873,-0.06330800873069002,-0.5949866200784873,-0.06330800873069002,-0.5949866200784873,-1.0049745073113796,-4.043656813677932,0,5,0.19960012172952907
0,2021-06-23,2021-10-28,GOOGL,Communication Services,-0.12249162952438504,-0.6535134585095169,-0.12249162952438504,-0.6535134585095169,-0.12249162952438504,-0.6535134585095169,-1.0278918692862042,-4.516235381570161,0,5,0.20682467731828857
0,2021-06-23,2021-10-28,GS,Financials,-0.6889359732558233,0.14060102306415137,-0.6889359732558233,0.14060102306415137,-0.6889359732558233,0.14060102306415137,4.9234779946119485,-0.5214108579849899,0,2,0.23631259683306474
0,2021-06-23,2021-10-28,HD,Consumer Discretionary,-0.17092490285667672,-0.2671791553259633,-0.17092490285667672,-0.2671791553259633,-0.17092490285667672,-0.2671791553259633,-0.4662116161001662,-0.7366374493316853,0,0,0.17098154521862682
0,2021-06-23,2021-10-28,INTC,Information Technology,-0.8654239506525028,-0.3323258731780743,-0.8654239506525028,-0.3323258731780743,-0.8654239506525028,-0.3323258731780743,2.5151248235749506,-2.530858508111016,0,1,0.22988048607974254
0,2021-06-23,2021-10-28,JNJ,Health Care,0.6492874568046149,0.05095023489034463,0.6492874568046149,0.05095023489034463,0.6492874568046149,0.05095023489034463,-3.3923636233761836,2.9019920210487933,2,4,0.12028861220117563
0,2021-06-23,2021-10-28,JPM,Financials,-0.6156577778424858,0.35390606709904543,-0.6156577778424858,0.35390606709904543,-0.6156577778424858,0.35390606709904543,5.709186031932601,1.8162773223912596,0,2,0.21227299220407894
0,2021-06-23,2021-10-28,KO,Consumer Staples,0.6589017454307791,0.22526689304280076,0.6589017454307791,0.22526689304280076,0.6589017454307791,0.22526689304280076,-3.5326173009839845,2.8962680446708426,2,4,0.11982075429425249
0,2021-06-23,2021-10-28,LIN,Materials,-0.01037099106420784,-0.09653921660890552,-0.01037099106420784,-0.09653921660890552,-0.01037099106420784,-0.09653921660890552,-0.491510658274292,-0.49906297823113777,0,0,0.16901697360117762
0,2021-06-23,2021-10-28,LLY,Health Care,1.0168650325419117,0.07730229934298091,1.0168650325419117,0.07730229934298091,1.0168650325419117,0.07730229934298091,-3.474392496137013,0.278342410518761,2,4,0.25335799260033165
0,2021-06-23,2021-10-28,MA,Financials,0.021918146436985905,0.5869713004696662,0.021918146436985905,0.5869713004696662,0.021918146436985905,0.5869713004696662,1.3889988795123147,0.49016721280050213,0,3,0.26487626033944023
0,2021-06-23,2021-10-28,MCD,Consumer Discretionary,0.1458172018750841,0.05572972022179623,0.1458172018750841,0.05572972022179623,0.1458172018750841,0.05572972022179623,-0.29213432101529,-0.02647168025347592,0,0,0.1398061959194237
0,2021-06-23,2021-10-28,META,Communication Services,-0.41899421347272425,-0.8893029628025637,-0.41899421347272425,-0.8893029628025637,-0.41899421347272425,-0.8893029628025637,-0.8227104607308406,-4.738097802217062,0,1,0.27653344136422586
0,2021-06-23,2021-10-28,MS,Financials,-0.5598263475014843,0.1268419525992862,-0.5598263475014843,0.1268419525992862,-0.5598263475014843,0.1268419525992862,4.73285451845763,0.08402846829879965,0,2,0.24002658523241602
