ticker,latest_price,return_1y,volatility_1y,momentum_6m,max_drawdown_1y
A,68.06,0.36310835169236944,0.17314194502658597,0.14041554959785518,-0.09035017375033405
AAL,51.4,0.1407012871726585,0.2938968443711457,0.04048582995951411,-0.20841018074511242
AAP,109.93,-0.3244638358016345,0.40663331888550913,0.006869389998168218,-0.5184129102711885
AAPL,159.54,0.20827022114510751,0.18966871654630837,-0.009437476716751547,-0.12702220238759332
ABBV,113.62,0.8280416233900206,0.2415192306233884,0.5006409009679376,-0.11119227335443538
ABC,94.22,0.03458877786318215,0.2484208760714219,0.18070175438596503,-0.24019506121601986
ABT,58.67,0.3837264150943398,0.15201714697608987,0.20299364363338124,-0.07489750867234313
ACN,155.15,0.3441046521701463,0.1371675315089525,0.196960345625675,-0.09187223276407341
ADBE,192.34,0.6562473090502023,0.22507524356001812,0.29652847994607345,-0.09633225458468186
ADI,85.35,0.10157459989674744,0.21801109200943422,0.09451141318286727,-0.12227478403948988
ADM,42.19,-0.029222273354809092,0.19336578589657794,-0.007060484819957691,-0.17053438364913776
ADP,113.56,0.17581279768067937,0.19568025749859122,0.03556447200437729,-0.1347237406441847
ADS,246.75,0.09297484053862504,0.25675811316431035,0.06156427465152303,-0.20463393430850052
ADSK,110.54,0.33293138791752086,0.3061871239727526,0.028757561656584496,-0.20300982800982814
AEE,53.19,0.0013177710843372825,0.12735920006264284,-0.08419421487603307,-0.1788038425782461
AEP,64.45,0.010188087774294807,0.11908541847451397,-0.09174182638105965,-0.16977972433337618
AES,13.110299999999999,-0.09577221742881792,0.22445257337512733,-0.06844444444444442,-0.1439330543933054
AET,181.49,0.49583779774169634,0.19288091204767893,0.16653811543900243,-0.07211567918632444
AFL,85.6,0.22917863296955754,0.13765211196068325,0.04683869389751738,-0.07361762460464605
AGN,170.39,-0.2934859227930505,0.22009576654912938,-0.2839853763079381,-0.3613898106578176
AIG,60.47,-0.06840240332768444,0.17248083797683755,-0.055303858772067005,-0.13126027806847063
AIV,39.21,-0.1344370860927152,0.14207967488328868,-0.14760869565217394,-0.15731785944551901
AIZ,88.49,-0.02166943062465454,0.21191065739747303,-0.15739859074462004,-0.1743671779429754
AJG,66.11,0.2229004809470958,0.14516483943778158,0.12241086587436345,-0.07220882394665895
AKAM,64.48,0.014634146341463428,0.33739443739230746,0.36033755274261625,-0.30907692307692314
ALB,106.63,0.13015368309485953,0.26501290749955964,-0.057705903145988,-0.2727209849218426
ALGN,234.33,0.8280416233900206,0.3523568118094448,0.33316265574330095,-0.1748071979434448
ALK,64.23,-0.33919753086419746,0.29219417311942136,-0.23843964903960158,-0.3846767757382282
ALL,96.87,0.24208231824592907,0.1394918889635397,0.02291446673706443,-0.09427128014488606
ALLE,79.96,0.1828402366863906,0.17925306411784483,-0.007817347065392832,-0.11668155426529703
ALXN,117.15,-0.07296035451452088,0.30611394575878964,-0.14395323346729993,-0.2762426846433069
AMAT,48.69,0.3676966292134831,0.2882100788385504,0.1113900935859391,-0.17840136054421762
AMD,13.110299999999999,-0.14454277286135697,0.4957707215658841,-0.0958690568978956,-0.3486842105263157
AME,74.16,0.4166189111747849,0.1391283386190534,0.1667715544367525,-0.05852405715002812
AMG,187.87,0.16335376803517243,0.19359877385674557,0.04065806237190506,-0.12926399703374114
AMGN,177.47,0.055615036878420065,0.18258353754015677,0.022587150677038315,-0.1619934282584884
AMP,160.11,0.31691067609804247,0.2015302987752365,0.08218992903007782,-0.12046802900461429
AMT,140.0,0.34228187919463093,0.16712986963042398,0.015596663039535663,-0.12912519643792564
AMZN,642.8236999999992,0.7283917483012283,0.22046149144926985,0.4427347990346331,-0.10847264437689963
ANDV,100.62,0.17932489451476807,0.2102255913857129,0.05471698113207535,-0.1803021547098158
ANSS,155.03,0.6279533760369631,0.20522437548676173,0.2426258416159024,-0.08590258313764099
ANTM,238.44,0.503404791929382,0.19257313375949578,0.23640134819808134,-0.10744025717494876
AON,140.55,0.2290136411332635,0.13019866040098996,0.002567943505243031,-0.13709148182176134
AOS,62.72,0.27066450567260936,0.15994104812331744,0.16083657227466208,-0.09257075471698117
APA,39.55,-0.3052871948006324,0.3479336191080178,-0.09247361174850854,-0.33130010456605097
APC,58.72,-0.12553983618763975,0.2791069712721616,0.33151927437641726,-0.41563311220074994
APD,158.21,0.14156865574716804,0.14291711170050161,0.08177777777777773,-0.10155172413793101
APH,88.28,0.2978535724786828,0.12510689623514554,0.12472926487450642,-0.05852405715002812
ARE,118.96,0.038589139165357,0.14316558324188647,-0.015476289001075894,-0.11557114078937547
ARNC,25.1,-0.08058608058608052,0.31548491508619014,0.018255578093306468,-0.28510638297872337
ATVI,69.46,0.7723909160500126,0.32205726089504183,0.13163897034864758,-0.11426844014510273
AVB,158.28,-0.11327731092436977,0.1373323546652633,-0.16373434775717233,-0.2050226017076846
AVGO,237.38,0.14737300014500465,0.2546136705042619,-0.04731709274792306,-0.1985805635584288
AVY,114.78,0.44540989799773345,0.1514807119079874,0.23565507589622126,-0.07230192370394528
AWK,77.96,0.06897024544083341,0.14237022234043867,-0.04554358472086206,-0.15490514905149055
AXP,93.61,0.20321336760925446,0.14403891371583966,0.09242618741976893,-0.09098992294013031
AYI,148.07,-0.2920053552644162,0.3583399292881067,-0.23628017330307405,-0.34946019800206063
AZO,642.8236999999992,-0.017178096240520246,0.2711802054012961,0.3660627203841249,-0.3388878462074698
BA,348.12,0.8280416233900206,0.20826903247696454,0.4857240408006487,-0.07861265198632827
BAC,31.25,0.3784737538597265,0.21595780571933512,0.2631366208569119,-0.128235294117647
BAX,65.55,0.35573940020682504,0.15056095814409198,0.0921359546817726,-0.09327428729587617
BBT,53.82,0.1753658003930989,0.17559783698343354,0.1285384776682743,-0.1619718309859156
BBY,71.26,0.6243446546615001,0.3697647593376367,0.1668577042737842,-0.15815591483912272
BDX,221.92,0.24632146467482863,0.17241830141463685,0.12171451678123724,-0.09891180769855457
BEN,39.44,-0.007549068948163207,0.18418997415483943,-0.09520532232163348,-0.17618443316412857
BF.B,65.08,0.4089629789997835,0.20433134492614907,0.3415790558647702,-0.16953619114546725
BIIB,326.89,0.2163801443774651,0.23911593170217602,0.13212578790607465,-0.17226792009400715
BK,55.34,0.22596366858661954,0.15970199712769792,0.024056254626202866,-0.07397959183673475
BLK,532.26,0.42102733874412634,0.1579960534278202,0.23396856308248726,-0.1151097326635876
BLL,39.33,0.05640612409347301,0.18255374437189417,-0.02358490566037741,-0.1495457721872817
BMY,62.63,0.20442307692307704,0.19132165048207317,0.09111498257839723,-0.1141975308641976
