ticker,cluster,pca1,pca2
A,0,1.4431860185899281,-0.11191172728123597
AAL,2,-0.633364636842934,0.6218489743560226
AAP,5,-4.146596836607853,1.7577852464800678
AAPL,0,0.3979112798258983,-0.6192032251751084
ABBV,7,2.976970077124345,2.4899777205461784
ABC,2,-0.44848021973796814,0.6903464948433643
ABT,0,1.854603259933726,-0.08345507883877268
ACN,0,1.7284229648108425,-0.2397033563987208
ADBE,7,2.217264776537831,1.3237776146519609
ADI,2,0.31121527738758287,-0.14269519273852158
ADM,1,-0.4039051721226444,-0.7679550432063055
ADP,0,0.36800733487789006,-0.42164155279267923
ADS,2,-0.47076857472286654,0.2999744240847889
ADSK,2,-0.2613195759342397,0.9254663307219411
AEE,1,-0.24311921086846164,-1.5665576586789849
AEP,1,-0.14806465824798692,-1.6809775730766858
AES,6,-0.7264120286209399,-0.8859432696755585
AET,7,1.8156139900569166,0.2809006750010469
AFL,0,1.1722421223568598,-0.9930175999280139
AGN,6,-2.9737498912569924,-1.3574022635947354
AIG,1,-0.2861709013444917,-1.293098710319629
AIV,1,-0.6722259775057486,-1.912475904312514
AIZ,6,-0.9038087039979923,-1.1383261631299102
AJG,0,1.3273172509478741,-0.6610860808890474
AKAM,3,-0.8766434526096907,2.302839492836244
ALB,6,-1.136982117930694,0.1770984597244441
ALGN,4,1.5904980138657854,3.0265748185712877
ALK,5,-3.4658060248527836,-0.5515165465846967
ALL,0,1.0097808733379234,-0.9888073281183651
ALLE,1,0.45817671439809843,-0.7678130169169696
ALXN,6,-2.0604669512087463,-0.03931479402312399
AMAT,2,0.2716027685073243,1.0479172240254402
AMD,5,-3.498867780276444,1.9128022514871401
AME,0,1.994413225649269,-0.33320307591413484
AMG,0,0.39546876652988716,-0.4532523011394876
AMGN,1,-0.027663730206675605,-0.6653366742148952
AMP,0,0.8631681374487172,-0.05254986789684372
AMT,0,0.8734568440828705,-0.5410281917532485
AMZN,7,2.7226648101042694,1.9523117250359718
ANDV,2,0.08900370489333896,-0.08842647867936389
ANSS,7,2.173477360271722,0.8838583634386158
ANTM,7,1.8164726972333691,0.646772198026086
AON,0,0.7283854363656896,-1.0399173670551
AOS,0,1.3435523085133358,-0.2684428735048793
APA,5,-2.9851840324351033,0.3668836733057638
APC,3,-1.5802740659634527,1.8052681734188056
APD,0,0.8781235644079368,-0.8541769465518225
APH,0,1.6865429998589783,-0.7682763105428149
ARE,1,0.304851868626679,-1.3065441232344297
ARNC,6,-1.7475364568454181,0.6557305985396047
ATVI,4,1.4358321537627847,1.771478567220184
AVB,1,-0.9165312499174083,-1.848875413676551
AVGO,6,-0.590016626318945,-0.06526876315976873
AVY,7,2.098810454896442,0.10643250008413108
AWK,1,0.07206843341268673,-1.2714279645012565
AXP,0,1.1010643860069185,-0.753720161245439
AYI,5,-3.4947963545430727,-0.002144419399135178
AZO,3,-0.7604321222727437,1.7868052984024854
BA,7,3.297776891428677,2.0502943490562027
BAC,7,1.3626988357441248,0.8443382457338697
BAX,0,1.3992022332923926,-0.489094406091562
BBT,0,0.5612888904386694,-0.17768506424819952
BBY,4,0.6927687154911425,2.2490004027873596
BDX,0,1.0832464307350913,-0.3172987245626915
BEN,1,-0.5731134658901346,-1.1282527736551942
BF.B,7,1.4628380068011895,1.1900797241894638
BIIB,2,0.2740816638391449,0.47605879309792204
BK,0,0.9877302946125004,-0.8869112074816945
BLK,7,1.7590134595590616,0.24761391894026105
BLL,1,-0.07653479209565642,-0.87030570589566
BMY,0,0.7208418119316089,-0.27606657373603777
BRK.B,0,1.2877888468704226,-0.6827260327308798
BSX,1,-0.2231010785984795,-0.7046708104708467
BWA,2,0.9472372398144457,0.7346113278607552
BXP,1,-0.6358053991594689,-1.2907572970418018
C,0,1.2565388318660309,-0.2869935871173642
CA,2,0.04312891403709802,-0.29329596016821613
CAG,1,-0.5553625515065018,-0.7496000873868832
CAH,6,-2.108764382993839,-0.07621533085665477
CAT,7,2.322165422946823,1.473231367707207
CB,1,0.6033778153291681,-1.215997992729385
CBG,0,1.2533295448096684,0.288486047510651
CBOE,7,1.4019391966950638,0.44632959979672837
CBS,6,-1.7064420402261606,-1.0807626305033085
CCI,0,1.0655802518375896,-0.614575366799313
CCL,0,0.8721903333020646,-0.7663598810094054
CDNS,0,0.6445611362091214,-0.14992307674899338
CELG,5,-3.098323665556106,-0.6450433930845294
CERN,2,0.241217004317214,-0.27089019356765087
CF,3,-1.1626035142081756,2.4111548594114334
CFG,2,0.6788621674893409,1.1487382940103132
CHD,1,-0.39853269713333783,-1.2003016021764985
CHK,5,-5.7225890308118705,1.1508973352011893
CHRW,7,1.1020932338682483,1.096089128301544
CHTR,6,-0.8104474335344928,-0.33488221833601817
CI,0,0.956333849325333,-0.16515267479832918
CINF,1,-0.1021471679461258,-1.395510563191257
CL,1,0.3297429357452454,-1.2246149354206723
CLX,1,-0.1669775651810713,-1.1870572763896743
CMA,7,1.3417961756976604,1.021497124886647
CMCSA,1,-0.2167305998465755,-0.5330820244861555
CME,7,1.8422255937891432,0.27434109503203297
CMG,5,-3.9034598897037065,0.18197345428460088
CMI,0,0.6737383361230289,-0.3663411520409425
CMS,1,-0.23476970526148022,-1.80034128335139
CNC,7,1.4901491456964029,1.4744846549836907
CNP,1,-0.05393427739870282,-1.680271201487533
COF,2,0.10029297311940072,0.25556615919791825
COG,6,-1.0927998034181925,-0.1722042172558171
COL,2,0.8269822728832973,0.870069777848814
COO,1,0.0699925458916904,-0.46612967814259126
COP,2,0.0780838779675399,1.157728342275367
COST,2,0.2681519559711161,0.09349982009444119
COTY,6,-2.433138840951444,0.3350073850229816
CPB,6,-2.4321227675971047,-0.8742301878625892
CRM,0,1.7815047366901728,0.034320737941243185
CSCO,7,1.4690175701809884,0.38196250875601834
CSRA,6,-0.5106445576154394,-0.4936417404619669
CSX,2,0.0215026453988469,-0.08246849440618759
CTAS,0,1.6027623864577254,0.058526201095027874
CTL,5,-4.316959002788046,0.44519379511484636
CTSH,0,1.4707897083794648,-0.5752668899906098
CTXS,2,0.46528229042997865,0.0015414770345788895
CVS,6,-0.8962759105901497,-0.6194590650069252
CVX,1,0.053842050247995446,-0.7445919245132948
CXO,2,-0.22017474536089468,1.072663954714822
D,1,0.08661979337235465,-1.5164277248197173
DAL,2,-0.18141023916103127,0.2665310277386118
DE,7,1.6603034843966002,0.5553889274891335
DFS,2,0.4797002225714143,0.41006619678150286
DG,7,1.1449498069772903,0.8939933381336009
DGX,1,-0.1693387159675048,-1.0741829416430468
DHI,7,1.7318001965903114,1.0025363658903592
DHR,0,1.201028753758363,-0.472122929151879
DIS,1,-0.1668536860728994,-0.9567869635505287
DISCA,5,-3.0111365225208697,0.9328636198002203
DISCK,5,-3.1912730279575827,0.9931396714316374
DISH,6,-2.90812427632899,-0.8648880925672171
DLR,6,-0.7545553055600032,-0.8900959528612
DLTR,7,1.3288499112619834,1.6747402067626664
DOV,0,1.2759516821399965,-0.07202050895789303
DPS,2,0.886549261352609,1.3313598013866206
DRE,1,-0.3083007957041405,-1.49240144628561
DRI,2,0.6884214759690146,0.5119082079844306
DTE,1,0.007714948294688162,-1.7405287901329534
DUK,1,-0.4675110110942318,-1.9323509588523908
DVA,3,-0.04512208471947969,1.830568553488887
DVN,3,-2.0019717317313104,1.1962620941595348
EA,2,0.6220027491806495,0.8048540559813276
EBAY,2,0.7976829590427295,0.5892995860130018
ECL,1,0.9748472326476101,-1.5439935764441932
ED,1,-0.12745488983765815,-1.7402514704805454
EFX,5,-3.0523122246181575,0.9509406779918824
EIX,6,-2.13264469866416,-1.4469197891285157
EL,7,2.597812138642153,0.834613411490079
EMN,0,1.5920104757016813,-0.33789023803253804
EMR,0,0.7212762126804662,-0.38617741762905344
EOG,2,0.16594412391777563,0.20566005051006322
EQIX,1,0.05987363884621821,-0.9348622598999554
EQR,1,-0.68724604274343,-1.8802818171815028
EQT,5,-3.1090225767697333,0.06144181847027658
ES,1,-0.02890766924098226,-1.5554949822390896
ESRX,2,0.05765344281300604,0.7782210675242166
ESS,1,-0.7824890524845249,-1.7391260589607405
ETFC,7,1.5723493805995397,0.9736368713941965
ETN,0,0.7251137324625683,-0.3576584975759396
ETR,1,-0.12915181698506542,-1.332570717728383
EVHC,5,-5.629870753744202,0.9930552884077348
EW,2,0.8355191085118328,0.5936879114723714
EXC,1,-0.05157280179878779,-1.1950614770505898
EXPD,0,0.9292045828018444,-0.4642349101593783
EXPE,6,-1.4351643800753318,-0.21498838007638144
EXR,1,0.32425205343045554,-0.5444431293915697
F,6,-0.9955582314974061,-0.734474501401415
FAST,2,-0.13852251967999157,0.8264169451322925
FB,0,1.212130064032572,-0.38372541379985003
FBHS,1,0.2901095301365294,-0.8863841445648218
FCX,3,-1.1399967832494848,2.411176438325944
FDX,0,1.5689600204322969,0.1451305103940933
FE,1,-0.2945872516214848,-0.754886758914267
FFIV,2,-0.22643997658285284,0.4372913405674944
FIS,0,1.2997359124159795,-0.977369981846272
FISV,0,0.9900621025396155,-0.9967538259248133
FITB,2,0.6312167075159014,0.4856236663551516
FL,5,-4.694862535815197,2.400136736525179
FLIR,7,1.4365295938039704,0.8076185300497924
FLR,3,-1.1649464180496898,3.381265461996837
FLS,6,-1.5706385038342927,0.3081710123800564
FMC,2,0.49655589959940916,0.37958679025807196
FOX,2,0.23697831338776545,1.3800509409616877
FOXA,2,0.18904793381449875,1.413351068212581
FRT,6,-1.4350462994811597,-1.5458138819581133
FTI,3,-0.9677836327647484,0.6670866859105625
